* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 13, 2026 7:08:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bench Mic 4
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
289.306641 95.009 -159.2290
289.672852 95.280 -164.9980
290.039062 95.367 -170.8188
290.405273 95.335 -175.9468
290.771484 95.313 -179.8936
291.137695 95.465 177.2129
291.503906 95.894 174.5029
291.870117 96.566 170.8994
292.236328 97.336 165.8633
292.602539 98.050 159.5688
292.968750 98.600 152.6162
293.334961 98.936 145.7744
293.701172 99.060 139.8779
294.067383 99.050 135.7227
294.433594 99.074 133.7266
294.799805 99.348 133.3027
295.166016 99.969 132.7300
295.532227 100.799 130.3408
295.898438 101.587 125.6973
296.264648 102.136 119.4463
296.630859 102.357 112.6943
296.997070 102.258 106.6445
297.363281 101.947 102.3745
297.729492 101.635 100.4263
298.095703 101.562 100.2046
298.461914 101.825 100.0752
298.828125 102.306 98.6514
299.194336 102.813 95.6929
299.560547 103.232 91.7183
299.926758 103.534 87.3340
300.292969 103.741 82.9023
300.659180 103.873 78.5435
301.025391 103.934 74.2979
301.391602 103.918 70.2852
301.757812 103.833 66.7197
302.124023 103.717 63.7715
302.490234 103.624 61.3896
302.856445 103.589 59.2520
303.222656 103.605 56.9492
303.588867 103.620 54.2539
303.955078 103.580 51.2349
304.321289 103.455 48.1743
304.687500 103.249 45.4141
305.053711 102.995 43.2358
305.419922 102.749 41.7754
305.786133 102.579 40.9463
306.152344 102.540 40.3833
306.518555 102.642 39.5107
306.884766 102.836 37.8105
307.250977 103.031 35.1089
307.617188 103.140 31.6470
307.983398 103.124 27.9331
308.349609 102.996 24.5024
